time_step,pos_x,pos_z,eye_pos_valid,eye_pos_x,eye_pos_y
0,-464.549987792969,-1216.65002441406,1,1203.68115234375,333.004180908203
0.1103515625,-464.552734375,-1216.64782714844,0,0,0
0.103515625,-464.553680419922,-1216.64709472656,0,0,0
0.1015625,-464.553833007812,-1216.64672851562,0,0,0
0.1025390625,-464.553253173828,-1216.64733886719,0,0,0
0.1103515625,-464.552520751953,-1216.64794921875,0,0,0
0.1015625,-464.552307128906,-1216.64807128906,0,0,0
0.1005859375,-464.552764892578,-1216.64758300781,0,0,0
0.1025390625,-464.553558349609,-1216.64709472656,1,1355.57543945312,157.135482788086
0.1005859375,-464.553985595703,-1216.64672851562,1,1395.37719726562,139.673980712891
0.1025390625,-464.553558349609,-1216.64709472656,1,1397.2744140625,117.793815612793
0.1015625,-464.552856445312,-1216.64758300781,1,1392.70104980469,130.638854980469
0.1015625,-464.552429199219,-1216.64807128906,1,1394.0791015625,121.959022521973
0.1015625,-464.552581787109,-1216.64807128906,1,1390.56713867188,128.057235717773
0.1015625,-464.553009033203,-1216.64733886719,1,1392.55908203125,126.571968078613
0.1005859375,-464.553375244141,-1216.64733886719,1,1423.77587890625,93.7410049438477
0.1025390625,-464.553344726562,-1216.64721679688,1,1414.86865234375,98.2061233520508
0.1083984375,-464.553039550781,-1216.64721679688,1,1526.37609863281,-25.663179397583
0.1015625,-464.552764892578,-1216.64721679688,1,1526.37609863281,-25.663179397583
0.1083984375,-464.552703857422,-1216.64709472656,1,1526.37609863281,-25.663179397583
0.107421875,-464.552886962891,-1216.64733886719,1,1252.07055664062,335.512023925781
0.107421875,-464.553039550781,-1216.64721679688,1,1268.94226074219,356.579162597656
0.1025390625,-464.553070068359,-1216.64721679688,1,1281.57238769531,357.372344970703
0.1083984375,-464.553070068359,-1216.64721679688,1,1297.97265625,371.61279296875
0.1064453125,-464.553070068359,-1216.64721679688,1,1492.05810546875,270.319793701172
0.1064453125,-464.553039550781,-1216.64721679688,1,1479.37878417969,253.32080078125
0.1044921875,-464.553039550781,-1216.64721679688,1,1522.7421875,246.061462402344
0.109375,-464.553039550781,-1216.64721679688,1,1571.71826171875,237.308898925781
0.1025390625,-464.553070068359,-1216.64721679688,1,1561.66345214844,239.173431396484
0.111328125,-464.553070068359,-1216.64721679688,1,1550.40649414062,256.108764648438
0.1005859375,-464.553070068359,-1216.64721679688,1,1550.41491699219,255.191711425781
0.1015625,-464.553070068359,-1216.64721679688,1,1566.16955566406,318.659423828125
0.1044921875,-464.553039550781,-1216.64721679688,1,1594.64233398438,246.477264404297
0.1025390625,-464.553039550781,-1216.64721679688,1,1586.36804199219,337.472045898438
0.1103515625,-464.553039550781,-1216.64721679688,1,1563.3359375,378.686706542969
0.1064453125,-464.553100585938,-1216.64721679688,1,1563.3359375,378.686706542969
0.1005859375,-464.553070068359,-1216.64721679688,1,1563.3359375,378.686706542969
0.1083984375,-464.553039550781,-1216.64721679688,1,1563.3359375,378.686706542969
0.1083984375,-464.553161621094,-1216.64721679688,1,1563.3359375,378.686706542969
0.1083984375,-464.553649902344,-1216.64697265625,0,0,0
0.109375,-464.554962158203,-1216.64587402344,0,0,0
0.1025390625,-464.557464599609,-1216.64379882812,0,0,0
0.1064453125,-464.561798095703,-1216.64038085938,0,0,0
0.107421875,-464.568054199219,-1216.63537597656,0,0,0
0.1083984375,-464.576141357422,-1216.62878417969,0,0,0
0.10546875,-464.585754394531,-1216.62097167969,1,1400.65002441406,148.49658203125
0.111328125,-464.597564697266,-1216.611328125,1,1394.52014160156,106.342155456543
0.109375,-464.611022949219,-1216.60070800781,1,1383.19189453125,90.9480895996094
0.1083984375,-464.626037597656,-1216.58850097656,1,1475.94262695312,52.1505393981934
0.1083984375,-464.642791748047,-1216.57495117188,1,1448.98669433594,84.6862869262695
0.1025390625,-464.66015625,-1216.56091308594,1,1455.63647460938,96.1146011352539
0.1083984375,-464.680114746094,-1216.54467773438,1,1055.27062988281,169.776184082031
0.1103515625,-464.702117919922,-1216.52673339844,1,1038.58276367188,249.084121704102
0.107421875,-464.725280761719,-1216.50793457031,1,1018.66387939453,263.097259521484
0.1083984375,-464.750183105469,-1216.48779296875,1,1017.74676513672,259.294830322266
0.1083984375,-464.776489257812,-1216.46643066406,1,1015.72265625,256.536712646484
0.107421875,-464.804290771484,-1216.44372558594,1,1095.35095214844,304.164825439453
0.107421875,-464.833618164062,-1216.419921875,1,1157.58825683594,333.605438232422
0.1083984375,-464.86474609375,-1216.39465332031,1,1158.95837402344,340.43408203125
0.1064453125,-464.896911621094,-1216.36853027344,1,1165.11657714844,337.882110595703
0.1083984375,-464.930999755859,-1216.34094238281,1,1109.71911621094,301.880981445312
0.1083984375,-464.966735839844,-1216.31188964844,1,1007.12945556641,273.666839599609
0.107421875,-465.003448486328,-1216.28210449219,1,1205.62194824219,-75.3774795532227
0.1083984375,-465.042114257812,-1216.25061035156,1,1205.62194824219,-75.3774795532227
0.10546875,-465.081268310547,-1216.21875,1,1205.62194824219,-75.3774795532227
0.1005859375,-465.119445800781,-1216.18774414062,1,1205.62194824219,-75.3774795532227
0.1005859375,-465.159240722656,-1216.15551757812,1,1205.62194824219,-75.3774795532227
0.1103515625,-465.204254150391,-1216.119140625,1,1102.89501953125,174.409973144531
0.1103515625,-465.250457763672,-1216.08154296875,1,1067.9296875,246.484909057617
0.1064453125,-465.296508789062,-1216.04418945312,1,1107.11474609375,328.312255859375
0.10546875,-465.343658447266,-1216.005859375,1,1095.79052734375,325.797088623047
0.109375,-465.393798828125,-1215.96520996094,1,1021.21649169922,264.988128662109
0.1025390625,-465.441802978516,-1215.92626953125,1,1019.79840087891,262.000946044922
0.1025390625,-465.491363525391,-1215.88598632812,1,1018.27423095703,265.764373779297
0.1025390625,-465.541748046875,-1215.84521484375,1,1014.37585449219,267.861267089844
0.1015625,-465.593109130859,-1215.80346679688,1,1020.3271484375,266.429565429688
0.1103515625,-465.650543212891,-1215.7568359375,1,1023.99530029297,275.453002929688
0.1015625,-465.704528808594,-1215.71313476562,1,1011.12774658203,273.618774414062
0.1005859375,-465.760192871094,-1215.66772460938,1,993.236999511719,273.151123046875
0.1005859375,-465.819274902344,-1215.61950683594,1,996.427368164062,268.034118652344
0.1083984375,-465.887847900391,-1215.56372070312,1,993.162414550781,261.749786376953
0.107421875,-465.968719482422,-1215.49816894531,1,996.82080078125,261.689392089844
0.1103515625,-466.077453613281,-1215.40954589844,1,1185.58703613281,353.8564453125
0.1064453125,-466.218200683594,-1215.29528808594,1,1187.54760742188,356.546173095703
0.109375,-466.400329589844,-1215.14709472656,1,1181.28002929688,354.813629150391
0.107421875,-466.616485595703,-1214.97106933594,1,1015.05242919922,265.304168701172
0.111328125,-466.876220703125,-1214.759765625,1,1017.07196044922,258.542999267578
0.1123046875,-467.180389404297,-1214.51171875,1,998.987243652344,270.685424804688
0.109375,-467.514495849609,-1214.2392578125,1,991.411926269531,261.782775878906
0.103515625,-467.866516113281,-1213.95178222656,1,1011.37945556641,270.69873046875
0.1103515625,-468.27783203125,-1213.61547851562,1,1001.61218261719,256.852264404297
0.111328125,-468.731262207031,-1213.24438476562,1,1004.21990966797,266.032409667969
0.107421875,-469.205200195312,-1212.85620117188,1,999.04736328125,256.759826660156
0.1103515625,-469.726318359375,-1212.42883300781,1,1175.81433105469,345.127563476562
0.1103515625,-470.254791259766,-1211.99462890625,1,1182.05810546875,344.583190917969
0.1015625,-470.729949951172,-1211.60363769531,1,1185.53759765625,341.865753173828
0.111328125,-471.253051757812,-1211.17211914062,1,1195.44616699219,337.315704345703
0.1123046875,-471.793609619141,-1210.72326660156,1,1196.55700683594,327.722900390625
0.111328125,-472.329467773438,-1210.27514648438,1,1194.38635253906,328.092468261719
0.111328125,-472.856750488281,-1209.83142089844,1,1205.62060546875,321.439605712891
0.1123046875,-473.393341064453,-1209.37023925781,1,1333.03332519531,358.519958496094
0.1005859375,-473.865509033203,-1208.94702148438,1,1375.43334960938,376.975952148438
0.1005859375,-474.332946777344,-1208.51928710938,1,1378.64111328125,380.366607666016
0.111328125,-474.860992431641,-1208.04272460938,1,1396.36987304688,381.897674560547
0.1025390625,-475.355987548828,-1207.6015625,1,1406.18798828125,365.637573242188
0.1025390625,-475.859436035156,-1207.14562988281,1,1411.50708007812,371.806427001953
0.103515625,-476.364013671875,-1206.68322753906,1,1417.6162109375,371.451080322266
0.111328125,-476.900817871094,-1206.19641113281,1,1423.69396972656,378.425079345703
0.1005859375,-477.388763427734,-1205.77221679688,1,1419.90661621094,385.925323486328
0.1005859375,-477.886199951172,-1205.34753417969,1,1178.61303710938,357.002655029297
0.109375,-478.433715820312,-1204.86755371094,1,1174.44274902344,354.444519042969
0.1005859375,-478.935516357422,-1204.41125488281,1,1178.81823730469,340.846740722656
0.1015625,-479.451416015625,-1203.94152832031,1,1158.06237792969,334.811492919922
0.103515625,-479.979370117188,-1203.45666503906,1,1061.15258789062,249.729614257812
0.1015625,-480.487701416016,-1202.97790527344,1,1019.88824462891,260.755645751953
0.1015625,-480.992431640625,-1202.49072265625,1,1019.03161621094,252.565582275391
