,0,1,2,3,4,5
0,0.0,-464.549988,-1216.650024,1.0,1063.9370938634634,427.34803859401796
1,0.109375,-464.552765,-1216.647949,1.0,1138.8361418634634,417.4419105940179
2,0.101562,-464.55368,-1216.647095,1.0,759.6880088634633,439.4178625940179
3,0.109375,-464.553802,-1216.646851,1.0,974.6198328634633,435.48628259401795
4,0.101562,-464.553162,-1216.647339,1.0,1220.5745448634632,441.0511025940179
5,0.105469,-464.55246,-1216.647949,1.0,1210.8996178634634,435.22993559401795
6,0.105469,-464.552307,-1216.648071,1.0,1213.9649258634633,393.6407625940179
7,0.101562,-464.552856,-1216.647583,1.0,1574.7498378634632,-330.1041254059821
8,0.109375,-464.55368,-1216.646973,1.0,1440.5413418634632,107.56492659401795
9,0.109375,-464.553955,-1216.646729,1.0,1450.6958828634633,127.03157059401792
10,0.105469,-464.553345,-1216.647339,1.0,1446.2699798634633,114.8499305940179
11,0.101562,-464.552734,-1216.647827,1.0,1440.8301598634632,108.7129975940179
12,0.105469,-464.552399,-1216.648071,1.0,1436.6438808634632,105.1598665940179
13,0.101562,-464.552704,-1216.647827,1.0,1437.9397788634633,113.25572259401793
14,0.105469,-464.553223,-1216.647217,1.0,1434.5102138634634,117.81382859401793
15,0.101562,-464.553406,-1216.647217,1.0,1451.9698088634632,180.86348059401791
16,0.105469,-464.553223,-1216.647217,1.0,1473.7577728634633,243.6522985940179
17,0.109375,-464.552917,-1216.647217,1.0,1465.6853848634632,248.72319059401792
18,0.101562,-464.552734,-1216.647217,1.0,1476.8719078634633,217.14640859401794
19,0.101562,-464.552765,-1216.647339,1.0,1453.6169028634633,201.61836259401792
20,0.101562,-464.552948,-1216.647339,1.0,1513.8699548634634,273.68562359401795
21,0.105469,-464.55307,-1216.647217,1.0,1510.8902188634634,278.229202594018
22,0.105469,-464.55307,-1216.647217,1.0,1510.6214198634632,277.56971759401796
23,0.101562,-464.55307,-1216.647217,1.0,1510.2846278634634,279.5260165940179
24,0.105469,-464.55307,-1216.647217,1.0,1520.9145108634632,285.0670325940179
25,0.101562,-464.55304,-1216.647217,1.0,1511.9005948634633,288.86744759401796
26,0.101562,-464.55304,-1216.647095,1.0,1506.8007408634633,287.299088594018
27,0.101562,-464.55304,-1216.647217,1.0,1580.2011318634634,258.1725015940179
28,0.105469,-464.55307,-1216.647217,1.0,1576.6916098634633,250.73866359401796
29,0.101562,-464.55307,-1216.647217,1.0,1570.9069418634633,257.05842659401793
30,0.101562,-464.55307,-1216.647339,1.0,1564.2587488634633,249.39460859401794
31,0.109375,-464.55307,-1216.647217,1.0,1555.4319668634632,246.21003759401793
32,0.105469,-464.55304,-1216.647217,1.0,1556.6676848634634,250.0261995940179
33,0.105469,-464.55304,-1216.647217,1.0,1552.0623378634632,250.57930059401798
34,0.101562,-464.55304,-1216.647217,1.0,1550.7398278634632,245.19966159401793
35,0.109375,-464.55307,-1216.647217,1.0,1395.3028158634634,276.1577305940179
36,0.105469,-464.55307,-1216.647217,1.0,1048.0723478634632,359.63240159401795
37,0.109375,-464.55307,-1216.647217,1.0,1053.5758268634631,356.18647859401796
38,0.101562,-464.55307,-1216.647217,1.0,1063.5716758634633,351.36091659401797
39,0.101562,-464.55307,-1216.647217,1.0,1050.5381068634633,346.7325595940179
40,0.101562,-464.553345,-1216.647217,1.0,1543.7354338634632,254.02833659401796
41,0.105469,-464.554047,-1216.646484,1.0,1542.1418058634633,236.08467159401795
42,0.105469,-464.555908,-1216.64502,1.0,1538.2967128634632,238.18708859401795
43,0.105469,-464.559265,-1216.642456,1.0,1535.7310388634633,237.19261259401793
44,0.105469,-464.564392,-1216.638184,1.0,1466.1111658634634,50.524338594017934
45,0.109375,-464.57132,-1216.632568,1.0,1445.6702478634634,77.40278659401793
46,0.105469,-464.58017,-1216.625244,1.0,1447.9829918634632,78.54051259401791
47,0.101562,-464.590088,-1216.61731,1.0,1453.3816738634632,89.3513035940179
48,0.105469,-464.601746,-1216.60791,1.0,1467.2876798634634,-306.9818944059821
49,0.101562,-464.614807,-1216.59729,1.0,1467.2876798634634,-306.9818944059821
50,0.105469,-464.629944,-1216.584961,1.0,1467.2876798634634,-306.9818944059821
