,0,1,2,3,4,5
0,0.0,-420.940002,-476.269989,1.0,955.8027795133519,391.872561294203
1,0.105469,-420.936218,-476.272705,1.0,1054.0423425133517,244.376284294203
2,0.113281,-420.934937,-476.27359,1.0,1054.0423425133517,244.376284294203
3,0.105469,-420.935364,-476.273285,1.0,739.1319425133519,317.575014294203
4,0.113281,-420.936432,-476.272522,1.0,794.1359705133518,327.998018294203
5,0.113281,-420.936584,-476.272491,1.0,769.1802215133519,330.596590294203
6,0.113281,-420.935699,-476.273102,1.0,775.9613495133518,352.876192294203
7,0.109375,-420.93512,-476.27356,1.0,1147.0761565133516,462.383944294203
8,0.101562,-420.935272,-476.273407,1.0,1245.7145845133518,500.041964294203
9,0.113281,-420.93576,-476.27298,1.0,1235.7548675133517,220.731218294203
10,0.109375,-420.936096,-476.272766,1.0,1248.290145513352,229.490603294203
11,0.113281,-420.936035,-476.272827,1.0,1294.825057513352,161.546328294203
12,0.109375,-420.935669,-476.273041,1.0,1314.4555505133517,215.816057294203
13,0.113281,-420.935516,-476.273102,1.0,1329.8920745133519,261.450701294203
14,0.109375,-420.935547,-476.273041,1.0,1321.4340665133518,254.148913294203
15,0.113281,-420.935638,-476.27301,1.0,1323.251205513352,192.511324294203
16,0.105469,-420.935669,-476.27298,1.0,1319.886337513352,193.152132294203
17,0.113281,-420.935638,-476.27301,1.0,1317.418929513352,238.817873294203
18,0.109375,-420.935608,-476.27301,1.0,1329.1276705133519,298.430971294203
19,0.101562,-420.935608,-476.27301,1.0,1370.4577485133518,287.965334294203
20,0.109375,-420.935608,-476.27298,1.0,1367.0348965133517,292.099459294203
21,0.109375,-420.935608,-476.27301,1.0,1390.9723965133517,281.062288294203
22,0.113281,-420.935608,-476.273041,1.0,1395.873153513352,287.700533294203
23,0.109375,-420.935608,-476.27301,1.0,1385.801132513352,282.88501229420297
24,0.109375,-420.935608,-476.27301,1.0,1383.316757513352,276.539217294203
25,0.113281,-420.935608,-476.27301,1.0,1388.7454675133517,274.344301294203
26,0.109375,-420.935608,-476.27301,1.0,1385.1697845133517,281.031252294203
27,0.113281,-420.935608,-476.27301,1.0,1389.2253265133518,277.918657294203
28,0.113281,-420.935608,-476.27298,1.0,1347.997543513352,228.620165294203
29,0.109375,-420.935547,-476.273041,1.0,1302.2321625133518,189.017779294203
30,0.109375,-420.934357,-476.273926,1.0,1299.7391205133517,181.523928294203
31,0.113281,-420.930878,-476.276306,1.0,1303.3953705133517,182.350359294203
32,0.101562,-420.925812,-476.279877,1.0,1302.3692475133516,175.741213294203
33,0.101562,-420.918915,-476.284637,1.0,1322.2396085133519,171.258257294203
34,0.109375,-420.909576,-476.291077,1.0,1249.7678065133518,234.648531294203
35,0.105469,-420.898468,-476.298767,1.0,1071.7415005133519,409.638918294203
36,0.109375,-420.885193,-476.307892,1.0,1066.2251435133517,412.012270294203
37,0.113281,-420.869507,-476.318787,1.0,1074.7902675133519,429.152743294203
38,0.113281,-420.851685,-476.331116,1.0,968.4435275133518,339.693178294203
39,0.105469,-420.832703,-476.344269,1.0,929.3986055133519,314.364321294203
40,0.113281,-420.810791,-476.359375,1.0,923.6480555133519,298.069613294203
41,0.113281,-420.786896,-476.375916,1.0,929.4234465133518,263.288881294203
42,0.109375,-420.762054,-476.393097,1.0,642.7943575133519,-144.078030705797
43,0.113281,-420.73468,-476.412079,1.0,642.7943575133519,-144.078030705797
44,0.109375,-420.705658,-476.432159,1.0,642.7943575133519,-144.078030705797
45,0.109375,-420.675262,-476.453217,1.0,642.7943575133519,-144.078030705797
46,0.113281,-420.641876,-476.476318,0.0,99.83323651335184,28.249056294203
47,0.113281,-420.606995,-476.500397,0.0,99.83323651335184,28.249056294203
48,0.109375,-420.570953,-476.52533,0.0,99.83323651335184,28.249056294203
49,0.113281,-420.532074,-476.552185,1.0,1061.6935885133519,469.500979294203
50,0.109375,-420.491547,-476.5802,1.0,1055.9055635133518,458.332094294203
51,0.109375,-420.450714,-476.608459,1.0,1050.5170745133519,445.371554294203
52,0.113281,-420.406616,-476.638977,1.0,1044.6672205133518,434.794771294203
53,0.109375,-420.361298,-476.670349,1.0,1045.6108855133518,438.425570294203
54,0.101562,-420.319824,-476.699097,1.0,1047.3907925133517,437.128328294203
55,0.109375,-420.271545,-476.732605,1.0,1041.1352995133518,437.486178294203
56,0.113281,-420.221039,-476.76767,1.0,1053.395736513352,432.880007294203
57,0.113281,-420.168243,-476.80423,1.0,1051.5563815133519,432.425326294203
58,0.109375,-420.115234,-476.840912,1.0,1052.1496425133519,434.258547294203
59,0.113281,-420.05899,-476.879822,1.0,1049.652694513352,433.614931294203
60,0.113281,-419.999329,-476.921051,1.0,1052.7303315133518,433.208498294203
61,0.113281,-419.934601,-476.96579,1.0,978.9396815133518,431.264193294203
62,0.109375,-419.865051,-477.013885,1.0,982.6459195133518,430.450716294203
63,0.101562,-419.793579,-477.063263,1.0,979.0045625133519,430.386110294203
64,0.109375,-419.700623,-477.127563,1.0,978.6703335133518,429.236483294203
65,0.101562,-419.603058,-477.194916,1.0,976.2180635133518,422.305483294203
66,0.113281,-419.473846,-477.284119,1.0,955.3080285133518,406.315096294203
67,0.113281,-419.32251,-477.388611,1.0,953.7612155133519,402.989779294203
68,0.101562,-419.170685,-477.493317,1.0,942.0651705133519,366.193178294203
69,0.109375,-418.977936,-477.626221,1.0,917.6258395133518,308.587984294203
70,0.113281,-418.753571,-477.780762,1.0,914.0006555133518,311.321016294203
71,0.101562,-418.528381,-477.935822,1.0,918.6556245133519,313.733919294203
72,0.113281,-418.240143,-478.134155,1.0,980.5218355133518,366.288637294203
73,0.101562,-417.971558,-478.318787,1.0,1083.1249845133518,438.944918294203
74,0.101562,-417.672791,-478.524017,1.0,1080.295944513352,439.205904294203
75,0.117188,-417.29776,-478.781738,1.0,1081.2846525133518,449.443636294203
76,0.117188,-416.885773,-479.065063,1.0,1083.364791513352,447.298433294203
77,0.105469,-416.489014,-479.338074,1.0,1086.1146085133519,442.277681294203
78,0.101562,-416.095459,-479.6091,1.0,1086.8807825133517,448.590670294203
79,0.105469,-415.670837,-479.901855,1.0,1087.6672205133518,445.138552294203
80,0.101562,-415.22049,-480.213501,1.0,1023.6907805133518,405.840883294203
81,0.101562,-414.770294,-480.526428,1.0,952.4372405133519,378.586001294203
82,0.113281,-414.226501,-480.906891,1.0,929.7967375133518,330.969362294203
83,0.101562,-413.740906,-481.249084,1.0,921.5016935133518,318.057772294203
84,0.101562,-413.24115,-481.603668,1.0,928.2231905133518,317.312319294203
85,0.101562,-412.725708,-481.971741,1.0,1046.0597985133518,449.489016294203
86,0.113281,-412.115479,-482.410461,1.0,1048.0930635133518,453.170199294203
87,0.117188,-411.496033,-482.858795,1.0,1044.8618615133519,445.252016294203
88,0.101562,-410.934387,-483.267975,1.0,1050.1490325133518,457.944368294203
89,0.101562,-410.362305,-483.6875,1.0,1046.5900115133518,454.574618294203
90,0.113281,-409.68927,-484.184723,1.0,1046.685043513352,448.052584294203
91,0.101562,-409.102051,-484.622406,1.0,1045.816085513352,435.447054294203
92,0.117188,-408.406372,-485.146362,1.0,1050.7524865133519,438.728548294203
93,0.117188,-407.689606,-485.69342,1.0,1005.1782685133518,434.181276294203
94,0.113281,-406.962616,-486.256226,1.0,1005.4540255133518,433.413973294203
95,0.101562,-406.324646,-486.757324,1.0,956.3312225133518,415.857546294203
96,0.101562,-405.690338,-487.262543,1.0,473.28550751335183,333.403231294203
97,0.117188,-404.938751,-487.871185,1.0,480.23683151335183,323.550356294203
98,0.117188,-404.170471,-488.504913,1.0,533.6848605133519,315.338961294203
99,0.113281,-403.403717,-489.149384,1.0,536.7350005133519,323.849642294203
100,0.105469,-402.725464,-489.729889,1.0,1057.297958513352,423.685335294203
101,0.101562,-402.027283,-490.337585,1.0,1110.7908175133518,419.492769294203
102,0.105469,-401.329132,-490.955902,1.0,1112.0769495133518,429.326052294203
103,0.105469,-400.622375,-491.59259,1.0,1109.4070285133519,448.331759294203
104,0.105469,-399.893707,-492.26004,1.0,1105.251754513352,443.822146294203
105,0.113281,-399.107788,-492.991364,1.0,1019.7977145133518,447.531801294203
106,0.117188,-398.309235,-493.746521,1.0,1014.4613495133518,441.450808294203
107,0.105469,-397.572693,-494.455963,1.0,1008.8276825133519,429.199434294203
108,0.105469,-396.841095,-495.176147,1.0,1008.8074795133518,433.513979294203
109,0.105469,-396.099304,-495.924988,1.0,999.4626315133519,424.632326294203
110,0.117188,-395.22879,-496.830109,1.0,985.3184045133519,425.916231294203
111,0.113281,-394.341522,-497.78241,1.0,962.8788905133518,424.522341294203
112,0.117188,-393.443512,-498.776367,1.0,958.7968595133518,422.612520294203
113,0.101562,-392.642792,-499.687988,1.0,948.7795865133519,424.750460294203
114,0.101562,-391.845917,-500.616119,1.0,1009.1588595133518,432.165590294203
115,0.117188,-390.952271,-501.678436,1.0,997.8966525133518,430.067110294203
116,0.113281,-390.050201,-502.771484,1.0,1000.4960785133518,428.517763294203
117,0.101562,-389.265533,-503.738525,1.0,958.7931365133518,427.535830294203
118,0.101562,-388.486786,-504.713684,1.0,953.0682825133518,421.660036294203
119,0.101562,-387.707306,-505.70575,1.0,651.7255705133518,353.530947294203
120,0.113281,-386.806488,-506.874146,1.0,505.2589875133518,339.729494294203
121,0.101562,-386.036377,-507.892853,1.0,532.4020235133519,324.184908294203
122,0.117188,-385.144226,-509.097351,1.0,545.8007655133518,333.971285294203
123,0.113281,-384.25943,-510.318878,1.0,552.4470675133518,326.180971294203
124,0.109375,-383.449158,-511.462006,1.0,991.9968715133518,445.459688294203
125,0.109375,-382.621948,-512.653748,1.0,1043.7076875133519,446.963289294203
126,0.101562,-381.849976,-513.789551,1.0,1042.7034755133518,447.195345294203
127,0.101562,-381.080475,-514.944641,1.0,1033.2275235133518,436.520510294203
128,0.105469,-380.293243,-516.148743,1.0,1060.812911513352,471.565767294203
129,0.105469,-379.522339,-517.347534,1.0,1065.785629513352,470.708986294203
130,0.101562,-378.768127,-518.537781,1.0,1064.9149015133519,482.054201294203
131,0.117188,-377.927124,-519.884827,1.0,1063.526962513352,471.952730294203
132,0.117188,-377.075348,-521.270569,1.0,1061.8783415133519,474.37246929420303
133,0.101562,-376.327972,-522.506042,1.0,1062.0724945133518,463.623751294203
134,0.101562,-375.602142,-523.724915,1.0,1196.947616513352,355.882326294203
135,0.113281,-374.766815,-525.152832,1.0,1282.258163513352,291.441134294203
136,0.101562,-374.054443,-526.392517,1.0,1060.617660513352,453.906191294203
137,0.117188,-373.227051,-527.85614,1.0,1051.0478365133517,474.108462294203
138,0.101562,-372.509369,-529.143372,1.0,1055.5467375133517,463.457338294203
139,0.113281,-371.687988,-530.633545,1.0,983.5922085133518,464.286715294203
140,0.101562,-370.987396,-531.91626,1.0,1010.7424165133518,468.212038294203
141,0.117188,-370.16687,-533.430908,1.0,1033.8331145133518,476.721895294203
142,0.113281,-369.35379,-534.946411,1.0,1030.5853115133518,472.790926294203
143,0.101562,-368.647797,-536.276428,1.0,1031.0978845133518,480.091463294203
144,0.101562,-367.944672,-537.616211,1.0,1026.574874513352,477.879213294203
145,0.113281,-367.139099,-539.174072,1.0,1029.0137785133518,471.175051294203
146,0.105469,-366.437195,-540.555908,1.0,1028.1381075133518,481.110415294203
147,0.113281,-365.644135,-542.148438,1.0,1001.7742155133518,468.799776294203
148,0.113281,-364.883636,-543.709656,1.0,997.8779755133519,467.355196294203
149,0.101562,-364.217621,-545.106079,1.0,994.1729585133519,466.496462294203
150,0.101562,-363.554596,-546.524475,1.0,977.0835415133519,463.016054294203
151,0.113281,-362.81073,-548.146667,1.0,977.5778045133518,460.649111294203
152,0.117188,-362.071533,-549.786743,1.0,971.4832605133519,461.218172294203
153,0.105469,-361.386841,-551.327271,1.0,970.5587005133518,462.406344294203
154,0.109375,-360.65976,-552.983948,1.0,970.8913415133518,451.198031294203
155,0.109375,-359.940735,-554.642883,1.0,942.5363005133519,385.32971429420303
156,0.105469,-359.239105,-556.28241,1.0,914.7809905133519,334.626497294203
157,0.105469,-358.536804,-557.944397,1.0,929.1671595133519,434.863680294203
158,0.101562,-357.86026,-559.562012,1.0,944.7391205133518,447.192843294203
159,0.101562,-357.203094,-561.140625,1.0,969.2832485133519,461.906679294203
160,0.117188,-356.423676,-563.014465,1.0,971.2664645133518,455.108095294203
161,0.113281,-355.6492,-564.86554,1.0,965.5677335133519,452.996340294203
162,0.101562,-354.978149,-566.450806,1.0,966.1678315133519,462.283938294203
163,0.101562,-354.274811,-568.089783,1.0,967.0140225133518,459.364412294203
164,0.101562,-353.572815,-569.700928,1.0,968.8365935133519,460.002596294203
165,0.113281,-352.747498,-571.565186,1.0,953.6189425133518,454.547579294203
166,0.101562,-352.03067,-573.160217,1.0,951.3492275133518,451.690767294203
167,0.117188,-351.18631,-575.016235,1.0,1011.1022795133518,476.353640294203
168,0.101562,-350.435516,-576.654297,1.0,1014.0594935133519,482.391909294203
169,0.117188,-349.581879,-578.50885,1.0,1022.7679285133519,484.944033294203
170,0.113281,-348.731812,-580.351196,1.0,1031.9381555133518,484.108919294203
171,0.101562,-348.007812,-581.919434,1.0,981.2051235133519,445.857729294203
172,0.117188,-347.165741,-583.746033,1.0,983.7844695133518,444.856875294203
173,0.117188,-346.336578,-585.556763,1.0,982.2125085133518,442.300326294203
174,0.101562,-345.620575,-587.135742,1.0,982.8379365133518,443.704867294203
175,0.113281,-344.820526,-588.92334,1.0,980.1610565133518,448.554201294203
176,0.101562,-344.151001,-590.441345,1.0,980.0038905133518,443.047274294203
177,0.117188,-343.370575,-592.237549,1.0,979.2064055133518,444.413759294203
178,0.117188,-342.607574,-594.019287,1.0,932.0058435133518,441.570589294203
179,0.113281,-341.874023,-595.747986,1.0,585.1255945133519,441.370760294203
